类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.display.DisplayObject,flash.events.EventDispatcher,,,,,,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,accessibilityProperties,,,flash.accessibility.AccessibilityProperties,as3.DisplayObject,,,,,,0,,
flash.display.DisplayObject,,,alpha,,,Number,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,blendMode,,,String,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,cacheAsBitmap,,,Boolean,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,filters,,,Array,as3.DisplayObject,,,,,,0,,
flash.display.DisplayObject,,,height,,,Number,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,loaderInfo,,,flash.display.LoaderInfo,as3.DisplayObject,,,,,,0,,
flash.display.DisplayObject,,,mask,,,flash.display.DisplayObject,as3.DisplayObject,,,,,,0,,
flash.display.DisplayObject,,,mouseX,,,Number,as3.DisplayObject,,,1,,,1,,
flash.display.DisplayObject,,,mouseY,,,Number,as3.DisplayObject,,,1,,,1,,
flash.display.DisplayObject,,,name,,,String,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,opaqueBackground,,,Object,as3.DisplayObject,,,,,,0,,
flash.display.DisplayObject,,,parent,,,flash.display.DisplayObjectContainer,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,root,,,flash.display.DisplayObject,as3.DisplayObject,,,,,,0,,
flash.display.DisplayObject,,,rotation,,,Number,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,scale9Grid,,,flash.geom.Rectangle,as3.DisplayObject,,,,,,0,,
flash.display.DisplayObject,,,scaleX,,,Number,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,scaleY,,,Number,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,scrollRect,,,flash.geom.Rectangle,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,stage,,,flash.display.Stage,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,transform,,,flash.geom.Transform,as3.DisplayObject,,,,,,0,,
flash.display.DisplayObject,,,visible,,,Boolean,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,width,,,Number,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,x,,,Number,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,y,,,Number,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,mouseEnabled,,,Boolean,as3.DisplayObject,,touchEnabled,,,,1,,
flash.display.DisplayObject,,,,,getBounds,flash.geom.Rectangle,as3.DisplayObject,1,,,as3.getBounds,b0 a1,1,,
flash.display.DisplayObject,,,,,getRect,flash.geom.Rectangle,as3.DisplayObject,,,,,,0,,
flash.display.DisplayObject,,,,,globalToLocal,flash.geom.Point,as3.DisplayObject,1,,,as3.globalToLocal,b0 a1,1,,
flash.display.DisplayObject,,,,,hitTestObject,Boolean,as3.DisplayObject,,,,,,0,,
flash.display.DisplayObject,,,,,hitTestPoint,Boolean,as3.DisplayObject,,,,,,1,,
flash.display.DisplayObject,,,,,localToGlobal,flash.geom.Point,as3.DisplayObject,1,,,as3.localToGlobal,b0 a1,1,,
