类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.display.Graphics,,,,,,,as3.Graphics,,,,,,1,,
flash.display.Graphics,,,,,beginBitmapFill,void,as3.Graphics,,,,,,0,,
flash.display.Graphics,,,,,beginFill,void,as3.Graphics,,,,,,1,,
flash.display.Graphics,,,,,beginGradientFill,void,as3.Graphics,,,,,,0,,
flash.display.Graphics,,,,,clear,void,as3.Graphics,,,,,,1,,
flash.display.Graphics,,,,,curveTo,void,as3.Graphics,,,,,,1,,
flash.display.Graphics,,,,,drawCircle,void,as3.Graphics,,,,,,1,,
flash.display.Graphics,,,,,drawEllipse,void,as3.Graphics,,,,,,1,,
flash.display.Graphics,,,,,drawRect,void,as3.Graphics,,,,,,1,,
flash.display.Graphics,,,,,drawRoundRect,void,as3.Graphics,,,,,,1,,
flash.display.Graphics,,,,,endFill,void,as3.Graphics,,,,,,1,,
flash.display.Graphics,,,,,lineGradientStyle,void,as3.Graphics,,,,,,0,,
flash.display.Graphics,,,,,lineStyle,void,as3.Graphics,,,,,,1,,
flash.display.Graphics,,,,,lineTo,void,as3.Graphics,,,,,,1,,
flash.display.Graphics,,,,,moveTo,void,as3.Graphics,,,,,,1,,
