类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.display.MovieClip,flash.display.Sprite,,,,,,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,currentFrame,,,int,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,currentLabel,,,String,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,currentLabels,,,Array,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,currentScene ,,,flash.display.Scene,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,enabled,,,Boolean,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,framesLoaded,,,int,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,scenes,,,Array,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,totalFrames,,,int,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,trackAsMenu,,,Boolean,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,,,gotoAndPlay ,void,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,,,gotoAndStop,void,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,,,nextFrame,void,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,,,nextScene,void,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,,,play,void,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,,,prevFrame,void,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,,,prevScene,void,egret.SwfMovie,,,,,,1,,
flash.display.MovieClip,,,,,stop,void,egret.SwfMovie,,,,,,1,,
