类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.display.Stage,flash.display.DisplayObjectContainer,,,,,,egret.Stage,,,,,,1,,
flash.display.Stage,,,align,,,String,egret.Stage,,,,,,0,,
flash.display.Stage,,,displayState,,,String,egret.Stage,,,,,,0,,
flash.display.Stage,,,focus,,,InteractiveObject,egret.Stage,,,,,,0,,
flash.display.Stage,,,frameRate,,,Number,egret.Stage,,,,,,0,,
flash.display.Stage,,,height,,,Number,egret.Stage,,,,,,1,,
flash.display.Stage,,,mouseChildren,,,Boolean,egret.Stage,,,,,,0,,
flash.display.Stage,,,numChildren,,,int,egret.Stage,,,,,,0,,
flash.display.Stage,,,quality,,,String,egret.Stage,,,,,,0,,
flash.display.Stage,,,scaleMode,,,String,egret.Stage,,,,,,0,,
flash.display.Stage,,,showDefaultContextMenu,,,Boolean,egret.Stage,,,,,,0,,
flash.display.Stage,,,stageFocusRect ,,,Boolean,egret.Stage,,,,,,0,,
flash.display.Stage,,,stageHeight,,,int,egret.Stage,,,,,,1,,
flash.display.Stage,,,stageWidth,,,int,egret.Stage,,,,,,1,,
flash.display.Stage,,,tabChildren,,,Boolean,egret.Stage,,,,,,0,,
flash.display.Stage,,,textSnapshot,,,TextSnapshot,egret.Stage,,,,,,0,,
flash.display.Stage,,,width,,,Number,egret.Stage,,,,,,1,,
