类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.geom.Matrix,,,,,,,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,a,,,Number,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,b,,,Number,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,c,,,Number,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,d,,,Number,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,tx,,,Number,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,ty,,,Number,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,,,clone,flash.geom.Matrix,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,,,concat,void,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,,,createBox,void,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,,,createGradientBox,void,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,,,deltaTransformPoint,flash.geom.Point,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,,,identity,void,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,,,invert,void,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,,,rotate,void,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,,,scale,void,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,,,toString,String,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,,,transformPoint,flash.geom.Point,as3.Matrix,,,,,,1,,
flash.geom.Matrix,,,,,translate,void,as3.Matrix,,,,,,1,,
