类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.geom.Rectangle,,,,,,,egret.Rectangle,,,,,,1,,
flash.geom.Rectangle,,,bottom,,,Number,egret.Rectangle,,,,,,1,,
flash.geom.Rectangle,,,bottomRight,,,flash.geom.Point,egret.Rectangle,,,,,,0,,
flash.geom.Rectangle,,,height,,,Number,egret.Rectangle,,,,,,1,,
flash.geom.Rectangle,,,left,,,Number,egret.Rectangle,,,,,,0,,
flash.geom.Rectangle,,,right,,,Number,egret.Rectangle,,,,,,1,,
flash.geom.Rectangle,,,size,,,flash.geom.Point,egret.Rectangle,,,,,,0,,
flash.geom.Rectangle,,,top,,,Number,egret.Rectangle,,,,,,0,,
flash.geom.Rectangle,,,topLeft,,,flash.geom.Point,egret.Rectangle,,,,,,0,,
flash.geom.Rectangle,,,width,,,Number,egret.Rectangle,,,,,,1,,
flash.geom.Rectangle,,,x,,,Number,egret.Rectangle,,,,,,1,,
flash.geom.Rectangle,,,y,,,Number,egret.Rectangle,,,,,,1,,
flash.geom.Rectangle,,,,,clone,flash.geom.Rectangle,egret.Rectangle,,,,,,1,,
flash.geom.Rectangle,,,,,contains,Boolean,egret.Rectangle,,,,,,1,,
flash.geom.Rectangle,,,,,containsPoint,Boolean,egret.Rectangle,,,,,,1,,
flash.geom.Rectangle,,,,,containsRect,Boolean,egret.Rectangle,,,,,,0,,
flash.geom.Rectangle,,,,,equals,Boolean,egret.Rectangle,,,,as3.equalsRectangle,b0 a1,1,,
flash.geom.Rectangle,,,,,inflate,void,egret.Rectangle,,,,,,1,,
flash.geom.Rectangle,,,,,inflatePoint,void,egret.Rectangle,,,,,,1,,
flash.geom.Rectangle,,,,,intersection,flash.geom.Rectangle,egret.Rectangle,,,,,,0,,
flash.geom.Rectangle,,,,,intersects,Boolean,egret.Rectangle,,,,,,1,,
flash.geom.Rectangle,,,,,isEmpty,Boolean,egret.Rectangle,,,,,,0,,
flash.geom.Rectangle,,,,,offset,void,egret.Rectangle,,,,,,0,,
flash.geom.Rectangle,,,,,offsetPoint,void,egret.Rectangle,,,,,,0,,
flash.geom.Rectangle,,,,,setEmpty,void,egret.Rectangle,,,,,,0,,
flash.geom.Rectangle,,,,,toString,String,egret.Rectangle,,,,,,0,,
flash.geom.Rectangle,,,,,union,flash.geom.Rectangle,egret.Rectangle,,,,,,0,,
