类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.net.SharedObject,flash.events.EventDispatcher,,,,,,as3.SharedObject,,,,,,1,,
flash.net.SharedObject,,,client,,,Object,as3.SharedObject,,,,,,1,,
flash.net.SharedObject,,,data,1,,Object,as3.SharedObject,,,,,,1,,
flash.net.SharedObject,,1,defaultObjectEncoding,,,uint,as3.SharedObject,1,as3.SharedObject.defaultObjectEncoding,,,,,,
flash.net.SharedObject,,,fps,2,,Number,as3.SharedObject,,,,,,,,
flash.net.SharedObject,,,objectEncoding,,,uint,as3.SharedObject,,,,,,,,
flash.net.SharedObject,,,size,1,,uint,as3.SharedObject,,,,,,,,
flash.net.SharedObject,,,,,clear,void,as3.SharedObject,,,,,,1,,
flash.net.SharedObject,,,,,close,void,as3.SharedObject,,,,,,,,
flash.net.SharedObject,,,,,connect,void,as3.SharedObject,,,,,,,,
flash.net.SharedObject,,,,,flush,String,as3.SharedObject,,,,,,1,,
flash.net.SharedObject,,1,,,getLocal,flash.net.ShareObject,as3.SharedObject,,as3.SharedObject.getLocal,,,,1,,
flash.net.SharedObject,,1,,,getRemote,flash.net.ShareObject,as3.SharedObject,1,as3.SharedObject.getRemote,,,,,,
flash.net.SharedObject,,,,,send,void,as3.SharedObject,,,,,,,,
flash.net.SharedObject,,,,,setDirty,void,as3.SharedObject,,,,,,,,
flash.net.SharedObject,,,,,setProperty,void,as3.SharedObject,,,,,,,,
