类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.net.Socket,flash.events.EventDispatcher,,,,,,as3.Socket,,,,,,1,,
flash.net.Socket,,,bytesAvailable,1,,uint,as3.Socket,,,,,,0,,
flash.net.Socket,,,connected,1,,Boolean,as3.Socket,,,,,,0,,
flash.net.Socket,,,endian,,,String,as3.Socket,,,,,,0,,
flash.net.Socket,,,objectEncoding,,,uint,as3.Socket,,,,,,0,,
flash.net.Socket,,,,,close,void,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,connect,void,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,flush,void,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,readBoolean,Boolean,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,readByte,int,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,readBytes,void,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,readDouble,Number,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,readFloat,Number,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,readInt,int,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,readMultiByte,String,as3.Socket,,,,,,0,,
flash.net.Socket,,,,,readObject,*,as3.Socket,,,,,,0,,
flash.net.Socket,,,,,readShort,int,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,readUnsignedByte,uint,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,readUnsignedInt,uint,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,readUnsignedShort,uint,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,readUTF,String,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,readUTFBytes,String,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,writeBoolean ,void,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,writeByte,void,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,writeBytes,void,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,writeDouble,void,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,writeFloat,void,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,writeInt,void,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,writeMultiByte,void,as3.Socket,,,,,,0,,
flash.net.Socket,,,,,writeObject,void,as3.Socket,,,,,,0,,
flash.net.Socket,,,,,writeShort,void,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,writeUnsignedInt,void,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,writeUTF,void,as3.Socket,,,,,,1,,
flash.net.Socket,,,,,writeUTFBytes,void,as3.Socket,,,,,,,,
