类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.system.Capabilities,,,,,,,as3.Capabilities,,,,,,1,,
flash.system.Capabilities,,,avHardwareDisable,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,hasAccessibility ,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,hasAudio,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,hasAudioEncoder,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,hasEmbeddedVideo,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,hasIME,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,hasMP3,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,hasPrinting,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,hasScreenBroadcast,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,hasScreenPlayback,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,hasStreamingAudio,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,hasStreamingVideo,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,hasTLS,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,hasVideoEncoder,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,isDebugger,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,language,1,,String,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,localFileReadDisable,1,,Boolean,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,manufacturer,1,,String,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,os,1,,String,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,pixelAspectRatio,1,,Number,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,playerType,1,,String,as3.Capabilities,,,,,,1,,
flash.system.Capabilities,,,screenColor,1,,String,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,screenDPI,1,,Number,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,screenResolutionX,1,,Number,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,screenResolutionY,1,,Number,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,serverString,1,,String,as3.Capabilities,,,,,,0,,
flash.system.Capabilities,,,version,1,,String,as3.Capabilities,,,,,,0,,
