类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.utils.IDataOutput,,,,,,,as3.IDataOutput,,,,,,1,,
flash.utils.IDataOutput,,,endian,,,String,as3.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,objectEncoding ,,,uint,as3.IDataOutput,,,,,,1,0,
flash.utils.IDataOutput,,,,,writeBoolean,void,as3.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeByte,void,as3.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeBytes,void,as3.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeDouble,void,as3.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeFloat,void,as3.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeInt,void,as3.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeMultiByte,void,as3.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeObject,void,as3.IDataOutput,,,,,,1,0,
flash.utils.IDataOutput,,,,,writeShort,void,as3.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeUnsignedInt,void,as3.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeUTF,void,as3.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeUTFBytes ,void,as3.IDataOutput,,,,,,1,1,
