类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
Array,,,,,,,Array,,,,,,1,,
Array,,1,CASEINSENSITIVE,,,uint,,1,as3.AS3Array.CASEINSENSITIVE,,,,1,,
Array,,1,DESCENDING,,,uint,,1,as3.AS3Array.DESCENDING,,,,1,,
Array,,1,NUMERIC,,,uint,,1,as3.AS3Array.NUMERIC,,,,1,,
Array,,1,RETURNINDEXEDARRAY,,,uint,,1,as3.AS3Array.RETURNINDEXEDARRAY,,,,1,,
Array,,1,UNIQUESORT,,,uint,,1,as3.AS3Array.UNIQUESORT,,,,1,,
Array,,,,,concat,Array,Array,,,,,,1,,
Array,,,,,every,Boolean,Array,,,,,,0,,
Array,,,,,filter,Array,Array,,,,,,1,,
Array,,,,,forEach,void,Array,,,,,,0,,
Array,,,,,indexOf,int,Array,,,,,,1,,
Array,,,,,join,String,Array,,,,,,1,,
Array,,,,,lastIndexOf,int,Array,,,,,,0,,
Array,,,length,,,int,Array,,,,,,1,,
Array,,,,,map,Array,Array,,,,,,0,,
Array,,,,,pop,Object,Array,,,,,,1,,
Array,,,,,push,uint,Array,,,,,,1,,
Array,,,,,reverse,Array,Array,,,,,,1,,
Array,,,,,shift,Object,Array,,,,,,1,,
Array,,,,,slice,Array,Array,,,,,,1,,
Array,,,,,some,Boolean,Array,,,,,,0,,
Array,,,,,sort,Array,Array,,,,,,1,,
Array,,,,,sortOn,Array,Array,1,,,as3.sortOn,b0 a1 a2,1,,
Array,,,,,splice,Array,Array,,,,,,1,,
Array,,,,,toLocaleString,String,Array,,,,,,1,,
Array,,,,,toString,String,Array,,,,,,1,,
Array,,,,,unshift,uint,Array,,,,,,1,,
Array,,,,,deflate,void,Array,,,,,,0,,
Array,,,,,inflate,void,Array,,,,,,0,,
