类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
Date,,,,,,,as3.As3Date,,,,,,1,,
Date,,,date,,,Number,as3.As3Date,,,,,,1,,
Date,,,dateUTC,,,Number,as3.As3Date,,,,,,1,,
Date,,,day,1,,Number,as3.As3Date,,,,,,1,,
Date,,,dayUTC,1,,Number,as3.As3Date,,,,,,1,,
Date,,,fullYear,,,Number,as3.As3Date,,,,,,1,,
Date,,,fullYearUTC,,,Number,as3.As3Date,,,,,,1,,
Date,,,hours,,,Number,as3.As3Date,,,,,,1,,
Date,,,hoursUTC,,,Number,as3.As3Date,,,,,,1,,
Date,,,milliseconds,,,Number,as3.As3Date,,,,,,1,,
Date,,,millisecondsUTC,,,Number,as3.As3Date,,,,,,1,,
Date,,,minutes,,,Number,as3.As3Date,,,,,,1,,
Date,,,minutesUTC ,,,Number,as3.As3Date,,,,,,1,,
Date,,,month,,,Number,as3.As3Date,,,,,,1,,
Date,,,monthUTC,,,Number,as3.As3Date,,,,,,1,,
Date,,,seconds,,,Number,as3.As3Date,,,,,,1,,
Date,,,secondsUTC,,,Number,as3.As3Date,,,,,,1,,
Date,,,time,,,Number,as3.As3Date,,,,,,1,,
Date,,,timezoneOffset,1,,Number,as3.As3Date,,,,,,1,,
Date,,,,,getDate,Number,as3.As3Date,,,,,,1,,
Date,,,,,getDay,Number,as3.As3Date,,,,,,1,,
Date,,,,,getFullYear,Number,as3.As3Date,,,,,,1,,
Date,,,,,getHours,Number,as3.As3Date,,,,,,1,,
Date,,,,,getMilliseconds,Number,as3.As3Date,,,,,,1,,
Date,,,,,getMinutes,Number,as3.As3Date,,,,,,1,,
Date,,,,,getMonth,Number,as3.As3Date,,,,,,1,,
Date,,,,,getSeconds,Number,as3.As3Date,,,,,,1,,
Date,,,,,getTime,Number,as3.As3Date,,,,,,1,,
Date,,,,,getTimezoneOffset,Number,as3.As3Date,,,,,,1,,
Date,,,,,getUTCDate,Number,as3.As3Date,,,,,,1,,
Date,,,,,getUTCDay,Number,as3.As3Date,,,,,,1,,
Date,,,,,getUTCFullYear,Number,as3.As3Date,,,,,,1,,
Date,,,,,getUTCHours,Number,as3.As3Date,,,,,,1,,
Date,,,,,getUTCMilliseconds,Number,as3.As3Date,,,,,,1,,
Date,,,,,getUTCMinutes,Number,as3.As3Date,,,,,,1,,
Date,,,,,getUTCMonth,Number,as3.As3Date,,,,,,1,,
Date,,,,,getUTCSeconds,Number,as3.As3Date,,,,,,1,,
Date,,,,,parse,Number,as3.As3Date,,,,,,1,,
Date,,,,,setDate,Number,as3.As3Date,,,,,,1,,
Date,,,,,setFullYear,Number,as3.As3Date,,,,,,1,,
Date,,,,,setHours,Number,as3.As3Date,,,,,,1,,
Date,,,,,setMilliseconds,Number,as3.As3Date,,,,,,1,,
Date,,,,,setMinutes,Number,as3.As3Date,,,,,,1,,
Date,,,,,setMonth,Number,as3.As3Date,,,,,,1,,
Date,,,,,setSeconds,Number,as3.As3Date,,,,,,1,,
Date,,,,,setTime,Number,as3.As3Date,,,,,,1,,
Date,,,,,setUTCDate,Number,as3.As3Date,,,,,,1,,
Date,,,,,setUTCFullYear,Number,as3.As3Date,,,,,,1,,
Date,,,,,setUTCHours,Number,as3.As3Date,,,,,,1,,
Date,,,,,setUTCMilliseconds,Number,as3.As3Date,,,,,,1,,
Date,,,,,setUTCMinutes,Number,as3.As3Date,,,,,,1,,
Date,,,,,setUTCMonth,Number,as3.As3Date,,,,,,1,,
Date,,,,,setUTCSeconds,Number,as3.As3Date,,,,,,1,,
Date,,,,,toDateString,String,as3.As3Date,,,,,,1,,
Date,,,,,toLocaleDateString,String,as3.As3Date,,,,,,1,,
Date,,,,,toLocaleString,String,as3.As3Date,,,,,,1,,
Date,,,,,toLocaleTimeString,String,as3.As3Date,,,,,,1,,
Date,,,,,toString,String,as3.As3Date,,,,,,1,,
Date,,,,,toTimeString,String,as3.As3Date,,,,,,1,,
Date,,,,,toUTCString,String,as3.As3Date,,,,,,1,,
Date,,,,1,UTC,Number,as3.As3Date,1,,,as3.As3Date.UTC,,1,,
Date,,,,,valueOf,Number,as3.As3Date,,,,,,1,,
