类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
Math,,,,,,,Math,,,,,,1,,
Math,,,,,abs,Number,Math,,,,,,1,,
Math,,,,,acos,Number,Math,,,,,,1,,
Math,,,,,asin,Number,Math,,,,,,1,,
Math,,,,,atan,Number,Math,,,,,,1,,
Math,,,,,atan2,Number,Math,,,,,,1,,
Math,,,,,ceil,Number,Math,,,,,,1,,
Math,,,,,cos,Number,Math,,,,,,1,,
Math,,,,,exp,Number,Math,,,,,,1,,
Math,,,,,floor,Number,Math,,,,,,1,,
Math,,,,,log,Number,Math,,,,,,1,,
Math,,,,,max,Number,Math,,,,,,1,,
Math,,,,,min,Number,Math,,,,,,1,,
Math,,,,,pow,Number,Math,,,,,,1,,
Math,,,,,random,Number,Math,,,,,,1,,
Math,,,,,round,Number,Math,,,,,,1,,
Math,,,,,sin,Number,Math,,,,,,1,,
Math,,,,,sqrt,Number,Math,,,,,,1,,
Math,,,,,tan,Number,Math,,,,,,1,,
Math,,1,E,,,Number,Math,,,,,,1,,
Math,,1,LN10,,,Number,Math,,,,,,1,,
Math,,1,LN2,,,Number,Math,,,,,,1,,
Math,,1,LOG10E,,,Number,Math,,,,,,1,,
Math,,1,LOG2E,,,Number,Math,,,,,,1,,
Math,,1,PI,,,Number,Math,,,,,,1,,
Math,,1,SQRT1_2,,,Number,Math,,,,,,1,,
Math,,1,SQRT2,,,Number,Math,,,,,,1,,
