类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
XMLList,,,,,attribute,XMLList,as3.XMLList,,,,,,1,,1
XMLList,,,,,attributes,XMLList,as3.XMLList,,,,,,1,,1
XMLList,,,,,child,XMLList,as3.XMLList,,,,,,1,,1
XMLList,,,,,children,XMLList,as3.XMLList,,,,,,1,,1
XMLList,,,,,comments,XMLList,as3.XMLList,,,,,,0,,0
XMLList,,,,,contains,Boolean,as3.XMLList,,,,,,1,,1
XMLList,,,,,copy,XMLList,as3.XMLList,,,,,,1,,1
XMLList,,,,,descendants,XMLList,as3.XMLList,,,,,,1,,1
XMLList,,,,,elements,XMLList,as3.XMLList,,,,,,1,,1
XMLList,,,,,hasComplexContent,Boolean,as3.XMLList,,,,,,1,,1
XMLList,,,,,hasOwnProperty,Boolean,as3.XMLList,,,,,,1,,1
XMLList,,,,,hasSimpleContent,Boolean,as3.XMLList,,,,,,1,,1
XMLList,,,,,length,int,as3.XMLList,,,,,,1,,1
XMLList,,,,,normalize,XMLList,as3.XMLList,,,,,,0,,
XMLList,,,,,parent,Object,as3.XMLList,,,,,,1,,1
XMLList,,,,,processingInstructions,XMLList,as3.XMLList,,,,,,0,,
XMLList,,,,,propertyIsEnumerable,Boolean,as3.XMLList,,,,,,0,,
XMLList,,,,,text,XMLList,as3.XMLList,,,,,,0,,
XMLList,,,,,toString,String,as3.XMLList,,,,,,1,,1
XMLList,,,,,toXMLString,String,as3.XMLList,,,,,,1,,1
XMLList,,,,,valueOf,XMLList,as3.XMLList,,,,,,1,,1
