类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.display.DisplayObjectContainer,flash.display.DisplayObject,,,,,,egret.DisplayObjectContainer,,,,,,1,,
flash.display.DisplayObjectContainer,,,mouseChildren,,,Boolean,egret.DisplayObjectContainer,,touchChildren,,,,1,,
flash.display.DisplayObjectContainer,,,numChildren,,,Number,egret.DisplayObjectContainer,,,,,,1,,
flash.display.DisplayObjectContainer,,,tabChildren,,,Boolean,egret.DisplayObjectContainer,,,,,,0,,
flash.display.DisplayObjectContainer,,,textSnapshot,,,flash.text.TextSnapshot,egret.DisplayObjectContainer,,,,,,0,,
flash.display.DisplayObjectContainer,,,,,addChild,flash.display.DisplayObject,egret.DisplayObjectContainer,,,,,,1,,
flash.display.DisplayObjectContainer,,,,,addChildAt,flash.display.DisplayObject,egret.DisplayObjectContainer,,,,,,1,,
flash.display.DisplayObjectContainer,,,,,areInaccessibleObjectsUnderPoint,Boolean,egret.DisplayObjectContainer,,,,,,0,,
flash.display.DisplayObjectContainer,,,,,contains,Boolean,egret.DisplayObjectContainer,,,,,,1,,
flash.display.DisplayObjectContainer,,,,,getChildAt,flash.display.DisplayObject,egret.DisplayObjectContainer,,,,,,1,,
flash.display.DisplayObjectContainer,,,,,getChildByName,flash.display.DisplayObject,egret.DisplayObjectContainer,,,,,,1,,
flash.display.DisplayObjectContainer,,,,,getChildIndex,Number,egret.DisplayObjectContainer,,,,,,1,,
flash.display.DisplayObjectContainer,,,,,getObjectsUnderPoint,Array,egret.DisplayObjectContainer,,,,,,0,,
flash.display.DisplayObjectContainer,,,,,removeChild,flash.display.DisplayObject,egret.DisplayObjectContainer,,,,,,1,,
flash.display.DisplayObjectContainer,,,,,removeChildAt,flash.display.DisplayObject,egret.DisplayObjectContainer,,,,,,1,,
flash.display.DisplayObjectContainer,,,,,setChildIndex,void,egret.DisplayObjectContainer,,,,,,1,,
flash.display.DisplayObjectContainer,,,,,swapChildren,void,egret.DisplayObjectContainer,,,,,,1,,
flash.display.DisplayObjectContainer,,,,,swapChildrenAt,void,egret.DisplayObjectContainer,,,,,,1,,
