类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.display.Loader,flash.display.DisplayObjectContainer,,,,,,as3.Loader,,,,,,1,,
flash.display.Loader,,,content,1,,flash.display.DisplayObject,as3.Loader,,,,,,1,,
flash.display.Loader,,,contentLoaderInfo,1,,flash.display.LoaderInfo,as3.Loader,,,,,,1,,
flash.display.Loader,,,uncaughtErrorEvents,,,flash.events.UncaughtErrorEvents,as3.Loader,,,,,,0,,
flash.display.Loader,,,,,close,void,as3.Loader,,,,,,0,,
flash.display.Loader,,,,,load,void,as3.Loader,,,,,,1,,
flash.display.Loader,,,,,loadBytes,void,as3.Loader,,,,,,0,,
flash.display.Loader,,,,,unload,void,as3.Loader,,,,,,0,,
flash.display.Loader,,,,,unloadAndStop,void,as3.Loader,,,,,,0,,
flash.display.LoaderInfo,flash.display.EventDispatcher,,,,,,as3.LoaderInfo,,,,,,1,,
