类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.events.Event,,,,,,,as3.Event,,,,,,1,,
flash.events.Event,,,bubbles,2,,Boolean,as3.Event,,,,,,1,,
flash.events.Event,,,cancelable,2,,Boolean,as3.Event,,,,,,1,,
flash.events.Event,,,currentTarget,2,,Object,as3.Event,,,,,,1,,
flash.events.Event,,,eventPhase,2,,uint,as3.Event,,,,,,1,,
flash.events.Event,,,target,2,,Object,as3.Event,,,,,,1,,
flash.events.Event,,,type,2,,String,as3.Event,,,,,,1,,
flash.events.Event,,,,,clone,flash.events.Event,as3.Event,,,,,,1,,
flash.events.Event,,,,,formatToString,String,as3.Event,,,,,,1,,
flash.events.Event,,,,,isDefaultPrevented,Boolean,as3.Event,,,,,,1,,
flash.events.Event,,,,,preventDefault,void,as3.Event,,,,,,1,,
flash.events.Event,,,,,stopImmediatePropagation,void,as3.Event,,,,,,1,,
flash.events.Event,,,,,stopPropagation,void,as3.Event,,,,,,1,,
flash.events.Event,,,,,toString,String,as3.Event,,,,,,0,,
flash.events.Event,,1,ADDED_TO_STAGE,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,ACTIVATE,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,ADDED,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,ADDED_TO_STAGE,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,CANCEL,,,String,as3.Event,,,,,,0,,
flash.events.Event,,1,CHANGE,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,CLOSE,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,COMPLETE,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,CONNECT,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,DEACTIVATE,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,ENTER_FRAME,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,FULLSCREEN,,,String,as3.Event,,,,,,0,,
flash.events.Event,,1,ID3,,,String,as3.Event,,,,,,0,,
flash.events.Event,,1,INIT,,,String,as3.Event,,,,,,0,,
flash.events.Event,,1,MOUSE_LEAVE,,,String,as3.Event,,,,,,0,,
flash.events.Event,,1,OPEN,,,String,as3.Event,,,,,,0,,
flash.events.Event,,1,REMOVED,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,REMOVED_FROM_STAGE,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,RENDER,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,RESIZE,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,SCROLL,,,String,as3.Event,,,,,,0,,
flash.events.Event,,1,SELECT,,,String,as3.Event,,,,,,0,,
flash.events.Event,,1,SOUND_COMPLETE,,,String,as3.Event,,,,,,1,,
flash.events.Event,,1,TAB_CHILDREN_CHANGE,,,String,as3.Event,,,,,,0,,
flash.events.Event,,1,TAB_ENABLED_CHANGE,,,String,as3.Event,,,,,,0,,
flash.events.Event,,1,TAB_INDEX_CHANGE,,,String,as3.Event,,,,,,0,,
flash.events.Event,,1,UNLOAD,,,String,as3.Event,,,,,,0,,
