类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.media.SoundTransform,,,,,,,as3.SoundTransform,,,,,,1,,
flash.media.SoundTransform,,,leftToLeft,,,Number,as3.SoundTransform,,,,,,1,,
flash.media.SoundTransform,,,leftToRight,,,Number,as3.SoundTransform,,,,,,1,,
flash.media.SoundTransform,,,pan,,,Number,as3.SoundTransform,,,,,,1,,
flash.media.SoundTransform,,,rightToLeft,,,Number,as3.SoundTransform,,,,,,1,,
flash.media.SoundTransform,,,rightToRight,,,Number,as3.SoundTransform,,,,,,1,,
flash.media.SoundTransform,,,volume,,,Number,as3.SoundTransform,,,,,,1,,
flash.media.ID3Info,,,,,,,as3.ID3Info,,,,,,1,,
flash.media.ID3Info,,,album,,,String,as3.ID3Info,,,,,,1,,
flash.media.ID3Info,,,artist,,,String,as3.ID3Info,,,,,,1,,
flash.media.ID3Info,,,comment,,,String,as3.ID3Info,,,,,,1,,
flash.media.ID3Info,,,genre,,,String,as3.ID3Info,,,,,,1,,
flash.media.ID3Info,,,songName,,,String,as3.ID3Info,,,,,,1,,
flash.media.ID3Info,,,track,,,String,as3.ID3Info,,,,,,1,,
flash.media.ID3Info,,,year,,,String,as3.ID3Info,,,,,,1,,
flash.media.SoundChannel,flash.events.EventDispatcher,,,,,,as3.SoundChannel,,,,,,1,,
flash.media.SoundChannel,,,leftPeak,1,,Number,as3.SoundChannel,,,,,,1,,
flash.media.SoundChannel,,,position,1,,Number,as3.SoundChannel,,,,,,1,,
flash.media.SoundChannel,,,rightPeak ,,,Number,as3.SoundChannel,,,,,,1,,
flash.media.SoundChannel,,,soundTransform,,,SoundTransform ,as3.SoundChannel,,,,,,1,,
flash.media.SoundChannel,,,,,stop,void,as3.SoundChannel,,,,,,1,,
flash.media.Sound,flash.events.EventDispatcher,,,,,,as3.Sound,,,,,,1,,
flash.media.Sound,,,bytesLoaded,1,,uint,as3.Sound,,,,,,1,,
flash.media.Sound,,,bytesTotal,1,,int,as3.Sound,,,,,,1,,
flash.media.Sound,,,id3,1,,ID3Info,as3.Sound,,,,,,1,,
flash.media.Sound,,,isBuffering,1,,Boolean,as3.Sound,,,,,,1,,
flash.media.Sound,,,length,1,,Number,as3.Sound,,,,,,1,,
flash.media.Sound,,,url,1,,String,as3.Sound,,,,,,1,,
flash.media.Sound,,,,,close,void,as3.Sound,,,,,,1,,
flash.media.Sound,,,,,load,void,as3.Sound,,,,,,1,,
flash.media.Sound,,,,,play,void,as3.Sound,,,,,,1,,
flash.media.SoundLoaderContext,,,,,,,as3.SoundLoaderContext,,,,,,1,,
flash.media.SoundLoaderContext,,,bufferTime,,,,as3.SoundLoaderContext,,,,,,1,,
flash.media.SoundLoaderContext,,,checkPolicyFile,,,,as3.SoundLoaderContext,,,,,,1,,
