类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.net.URLStream,flash.events.EventDispatcher,,,,,,as3.URLStream,,,,,,1,,
flash.net.URLStream,,,bytesAvailable,,,*,as3.URLStream,,,,,,1,,
flash.net.URLStream,,,connected,,,String,as3.URLStream,,,,,,1,,
flash.net.URLStream,,,endian,,,String,as3.URLStream,,,,,,1,,
flash.net.URLStream,,,objectEncoding,,,String,as3.URLStream,,,,,,1,,
flash.net.URLStream,,,,,load,void,as3.URLStream,,,,load,,1,,
flash.net.URLStream,,,,,close,void,as3.URLStream,,,,,,1,,
flash.net.URLStream,,,,,readBoolean,Boolean,as3.URLStream,,,,,,1,,
flash.net.URLStream,,,,,readByte,int,as3.URLStream,,,,,,0,,
flash.net.URLStream,,,,,readBytes,void,as3.URLStream,,,,,,0,,
flash.net.URLStream,,,,,readDouble,Number,as3.URLStream,,,,,,0,,
flash.net.URLStream,,,,,readFloat,Number,as3.URLStream,,,,,,0,,
flash.net.URLStream,,,,,readInt,int,as3.URLStream,,,,,,0,,
flash.net.URLStream,,,,,readMultiByte,String,as3.URLStream,,,,,,0,,
flash.net.URLStream,,,,,readObject,*,as3.URLStream,,,,,,0,,
flash.net.URLStream,,,,,readShort,int,as3.URLStream,,,,,,0,,
flash.net.URLStream,,,,,readUnsignedByte,uint,as3.URLStream,,,,,,0,,
flash.net.URLStream,,,,,readUnsignedInt,uint,as3.URLStream,,,,,,0,,
flash.net.URLStream,,,,,readUnsignedShort,uint,as3.URLStream,,,,,,0,,
flash.net.URLStream,,,,,readUTF,String,as3.URLStream,,,,,,0,,
flash.net.URLStream,,,,,readUTFBytes,String,as3.URLStream,,,,,,0,,
