类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.text.TextField,flash.display.DisplayObject,,,,,,as3.TextField,,,,,,1,,
flash.text.TextField,,,alwaysShowSelection,,,Boolean,as3.TextField,,,,,,1,,0
flash.text.TextField,,,antiAliasType,,,String,as3.TextField,,,,,,1,,0
flash.text.TextField,,,autoSize,,,String,as3.TextField,,,,,,1,,1
flash.text.TextField,,,background,,,Boolean,as3.TextField,,,,,,1,,1
flash.text.TextField,,,backgroundColor,,,uint,as3.TextField,,,,,,1,,1
flash.text.TextField,,,border,,,Boolean ,as3.TextField,,,,,,1,,1
flash.text.TextField,,,borderColor ,,,uint,as3.TextField,,,,,,1,,1
flash.text.TextField,,,bottomScrollV,1,,int,as3.TextField,,,,,,1,,0
flash.text.TextField,,,caretIndex,1,,int ,as3.TextField,,,,,,1,,0
flash.text.TextField,,,condenseWhite,,,Boolean,as3.TextField,,,,,,1,,0
flash.text.TextField,,,defaultTextFormat,,,TextFormat,as3.TextField,,,,,,1,,
flash.text.TextField,,,displayAsPassword,,,Boolean,as3.TextField,,,,,,1,,1
flash.text.TextField,,,embedFonts ,,,Boolean,as3.TextField,,,,,,1,,0
flash.text.TextField,,,gridFitType ,,,String,as3.TextField,,,,,,1,,0
flash.text.TextField,,,htmlText,,,String,as3.TextField,,,,,,1,,1
flash.text.TextField,,,length ,1,,int ,as3.TextField,,,,,,1,,1
flash.text.TextField,,,maxChars ,,,int,as3.TextField,,,,,,1,,1
flash.text.TextField,,,maxScrollH,1,,int,as3.TextField,,,,,,1,,0
flash.text.TextField,,,maxScrollV ,1,,int,as3.TextField,,,,,,1,,0
flash.text.TextField,,,mouseWheelEnabled ,,,Boolean ,as3.TextField,,,,,,1,,0
flash.text.TextField,,,multiline ,,,Boolean ,as3.TextField,,,,,,1,,1
flash.text.TextField,,,numLines,1,,int,as3.TextField,,,,,,1,,1
flash.text.TextField,,,restrict,,,String,as3.TextField,,,,,,1,,0
flash.text.TextField,,,scrollH,,,int,as3.TextField,,,,,,1,,0
flash.text.TextField,,,scrollV,,,int,as3.TextField,,,,,,1,,0
flash.text.TextField,,,selectable,,,Boolean ,as3.TextField,,,,,,1,,0
flash.text.TextField,,,selectionBeginIndex ,1,,int,as3.TextField,,,,,,1,,0
flash.text.TextField,,,selectionEndIndex,1,,int,as3.TextField,,,,,,1,,0
flash.text.TextField,,,sharpness,,,Number ,as3.TextField,,,,,,1,,0
flash.text.TextField,,,styleSheet,,,StyleSheet,as3.TextField,,,,,,1,,0
flash.text.TextField,,,text,,,String,as3.TextField,,,,,,1,,1
flash.text.TextField,,,textColor,,,uint,as3.TextField,,,,,,1,,1
flash.text.TextField,,,textHeight ,1,,Number ,as3.TextField,,,,,,1,,1
flash.text.TextField,,,textWidth ,1,,Number ,as3.TextField,,,,,,1,,1
flash.text.TextField,,,thickness,,,Number ,as3.TextField,,,,,,1,,0
flash.text.TextField,,,type,,,String,as3.TextField,,,,,,1,,1
flash.text.TextField,,,useRichTextClipboard,,,Boolean ,as3.TextField,,,,,,1,,1
flash.text.TextField,,,wordWrap,,,Boolean ,as3.TextField,,,,,,1,,0
flash.text.TextField,,,,,appendText,void,as3.TextField,,,,,,1,,
flash.text.TextField,,,,,getCharBoundaries ,Rectangle,as3.TextField,,,,,,0,,
flash.text.TextField,,,,,getCharIndexAtPoint,int,as3.TextField,,,,,,0,,
flash.text.TextField,,,,,getFirstCharInParagraph,int,as3.TextField,,,,,,0,,0
flash.text.TextField,,,,,getImageReference,DisplayObject,as3.TextField,,,,,,1,,0
flash.text.TextField,,,,,getLineIndexAtPoint,int,as3.TextField,,,,,,1,,0
flash.text.TextField,,,,,getLineIndexOfChar,int,as3.TextField,,,,,,1,,
flash.text.TextField,,,,,getLineLength,int,as3.TextField,,,,,,1,,0
flash.text.TextField,,,,,getLineMetrics,TextLineMetrics ,as3.TextField,,,,,,1,,0
flash.text.TextField,,,,,getLineOffset,int,as3.TextField,,,,,,1,,0
flash.text.TextField,,,,,getLineText,String,as3.TextField,,,,,,1,,0
flash.text.TextField,,,,,getParagraphLength,int,as3.TextField,,,,,,1,,0
flash.text.TextField,,,,,getTextFormat,TextFormat,as3.TextField,,,,,,1,,0
