类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.utils.ByteArray,,,,,,,as3.ByteArray,,,,,,1,,
flash.utils.ByteArray,,,bytesAvailable,1,,uint,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,defaultObjectEncoding,,,uint,as3.ByteArray,,,,,,1,0,
flash.utils.ByteArray,,,endian,,,String,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,length,,,uint,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,objectEncoding ,,,uint,as3.ByteArray,,,,,,1,0,
flash.utils.ByteArray,,,position,,,uint,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,compress,void,as3.ByteArray,,,,,,1,0,
flash.utils.ByteArray,,,,,readBoolean,Boolean,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readByte,int,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readBytes,void,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readDouble,Number,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readFloat,Number,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readInt,int,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readMultiByte ,String,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readObject,*,as3.ByteArray,,,,,,1,0,
flash.utils.ByteArray,,,,,readShort,int,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readUnsignedByte ,uint,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readUnsignedInt,uint,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readUnsignedShort ,uint,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readUTF ,String,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readUTFBytes ,String,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,toString,String,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,uncompress,void,as3.ByteArray,,,,,,1,0,
flash.utils.ByteArray,,,,,writeBoolean,void,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeByte,void,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeBytes,void,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeDouble,void,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeFloat,void,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeInt,void,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeMultiByte,void,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeObject,void,as3.ByteArray,,,,,,1,0,
flash.utils.ByteArray,,,,,writeShort,void,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeUnsignedInt,void,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeUTF,void,as3.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeUTFBytes ,void,as3.ByteArray,,,,,,1,1,
