类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
,,1,,,Array,Array,,,,,as3.AS3Array,,0,,
,,1,,,Boolean,Boolean,,,,,as3.Boolean,,1,,
,,1,,,decodeURI,String,,,,,,,0,,
,,1,,,encodeURI,String,,,,,,,0,,
,,1,,,escape,String,,,,,,,0,,
,,1,,,int,int,,,,,as3.tranint,,1,,
,,1,,,isNaN,Boolean,,,,,as3.isNaN,,1,,
,,1,,,Number,Number,,,,,as3.trannumber,,1,,
,,1,,,Object,Object,,,,,as3.AS3Object,,1,,
,,1,,,parseFloat,Number,,,,,parseFloat,,1,,
,,1,,,parseInt,int,,,,,as3.tranint,,1,,
,,1,,,String,String,,,,,as3.String,,1,,
,,1,,,trace,void,,,,,console.log,,1,,
,,1,,,uint,uint,,,,,as3.tranint,,1,,
,,1,,,unescape,String,,,,,,,0,,
,,1,,,Vector,Vector.<T>,,,,,,,0,,
,,1,,,XML,XML,,,,,as3.XML_,,1,,
,,1,,,XMLList,XMLList,,,,,as3.XMLList_,,1,,
,,1,,,typeof,String,,,,,typeof,,1,,
